Urban_geoid,slope_CUHI_day,slope_CUHI_night,slope_SUHI_day,slope_SUHI_night,Urban_name,Clim_zone,Coastal?
199,-0.007399530227328113,-0.015245895772779058,-0.023939996733652616,-0.012220902794354232,"Aberdeen--Bel Air South--Bel Air North, MD",Temperate,True
280,-0.0015387406324052532,-0.04281262373822125,-0.05440089930575503,-0.029335461368075997,"Abilene, TX",Temperate,False
631,0.014401602209955094,-0.01735715376818498,0.09853265811922685,0.011302458863933332,"Aguadilla--Isabela--San Sebastián, PR",Tropical,True
766,0.0001921199047168311,-0.01642066579202837,-0.030026665854121108,-0.025525293223091845,"Akron, OH",Snow,False
901,-0.025218417577391045,-0.0069047831555833755,-0.09877318832810882,-0.022384710300807024,"Albany, GA",Temperate,False
955,-0.03408250760527157,-0.0016632931361142973,-0.0657280463806267,0.030336779291969696,"Albany, OR",Temperate,False
970,-0.01829753003080156,-0.018387501580290472,-0.08313239470191115,-0.015052450860815778,"Albany--Schenectady, NY",Snow,False
1171,-0.022104128027784664,-0.011945948270302839,-0.03368948669332857,-0.011561338726475728,"Albuquerque, NM",Arid,False
1279,0.012410820776339232,-0.004406566988997969,-0.0933257876800844,-0.028130037789987586,"Alexandria, LA",Temperate,False
1495,-0.021967625089233812,-0.01433702240087163,-0.0882210504840558,-0.012502316633162924,"Allentown, PA--NJ",Snow,False
1765,0.021891421125829758,-0.017608611015559182,-0.04729762593704243,-0.05548045131514529,"Alton, IL--MO",Temperate,False
1792,-0.03991577781141822,-0.017523638061881976,0.011760088805867791,-0.049586566433032345,"Altoona, PA",Snow,False
1927,0.00010450602683269867,-0.002557286337212402,0.003555573619986138,-0.007537508129121305,"Amarillo, TX",Arid,False
2062,0.0005570906963318781,0.0015913982678532092,-0.05223150883156956,-0.019065256162723237,"Ames, IA",Snow,False
2305,-0.009416166171553157,-0.012869343756075029,-0.052788421656577586,-0.012785258631706358,"Anchorage, AK",Snow,True
2386,0.018229911171394438,-0.02322238490492392,-0.02034692550163867,-0.03789530988331563,"Anderson, IN",Snow,False
2413,-0.0036915564009060335,-0.003552942437472188,-0.0013129362514074361,-0.014960972856414088,"Anderson, SC",Temperate,False
2602,0.0031545791419045344,-0.004474734929121846,-0.015075698023415537,-0.005635725635261237,"Ann Arbor, MI",Snow,False
2629,0.0035311907206043245,-0.021014255653858557,-0.04422181315459274,-0.04689214123138304,"Anniston--Oxford, AL",Temperate,False
2683,-0.003075536930595559,-0.006043251316581575,0.01544127790557207,-0.014050026524052605,"Antioch, CA",Temperate,True
2764,-0.00990413677591337,0.0013272455542369828,-0.08657502395051564,-0.010791008299170506,"Appleton, WI",Snow,False
3034,0.01132181872396374,0.019760003507359302,0.026042740844406418,0.04657910878201919,"Arecibo, PR",Tropical,True
3196,-0.022023547074732336,-0.015910035728012313,-0.07119476501893084,-0.016731265487707772,"Arroyo Grande--Grover Beach, CA",Temperate,True
3358,-0.004206940869391426,-0.012544567746200509,-0.0054211400221475135,0.002413335110966312,"Asheville, NC",Temperate,False
3763,-0.003210426993234828,-0.007362436460407036,-0.01762979289406714,-0.02451100174518932,"Athens-Clarke County, GA",Temperate,False
3817,0.000352248813911914,-0.0012720227412888814,-0.008873885047004204,0.0021465025511459047,"Atlanta, GA",Temperate,False
3898,-0.010388396564358178,0.000323207937489786,-0.03568511010281991,0.0107768290776859,"Atlantic City, NJ",Temperate,True
4033,-0.005962298523905164,-0.003682882686123954,-0.02326928944487354,-0.016307504029966044,"Auburn, AL",Temperate,False
4222,0.008174556905857383,-0.00035428666888787254,-0.025766878060394953,-0.009318334907949383,"Augusta-Richmond County, GA--SC",Temperate,False
4384,-0.002783885712926171,-0.0008372980377492043,-0.021685176515506506,-0.0035715395934925328,"Austin, TX",Temperate,False
4549,0.0032909108517709604,-0.0058609722377733955,-0.011765832098325827,-0.010324030574462057,"Avondale--Goodyear, AZ",Arid,False
4681,-0.0037354728046411307,-0.004479583723163968,-0.011713201828574852,-0.009216340512192703,"Bakersfield, CA",Arid,False
4843,-0.002232671979365217,-0.008592292672486384,-0.02031569974493974,-0.008175109663511239,"Baltimore, MD",Temperate,True
4951,-0.007173006612655619,-0.01592426112920039,-0.03968813148384395,-0.009084286391267822,"Bangor, ME",Snow,False
5167,-0.0005476074985925847,-0.00484182493762405,-0.03197597478227742,-0.013711810827262819,"Barnstable Town, MA",Temperate,True
5680,-0.00391840065429489,-0.002740104297272983,-0.010355347832092103,-0.00946845394062326,"Baton Rouge, LA",Temperate,False
5707,0.0059556547498000175,-0.01665712720091107,-0.03269110252851609,-0.02995402178400467,"Battle Creek, MI",Snow,False
5869,0.008576472915000662,-0.025871048399095004,-0.14119898211067944,-0.01865056338559964,"Bay City, MI",Snow,False
6058,0.004353056886030187,-0.012921978726830478,-0.020373698528599344,-0.05264146752892145,"Beaumont, TX",Temperate,False
6139,-0.04202838718095542,-0.03648886922162009,-0.0013547686285221687,-0.05224312973533345,"Beckley, WV",Temperate,False
6652,-0.03247256097902391,-0.016758647097639485,-0.08712886216793636,-0.0002834393355972586,"Bellingham, WA",Temperate,True
6760,0.01761331327378338,-0.010787867055954395,-0.026272551024404216,-0.04527481200097013,"Beloit, WI--IL",Snow,False
6868,-0.04107082615566987,-0.026724186065474418,-0.11762713417777625,-0.034506137278863355,"Bend, OR",Temperate,False
7138,0.0017306960026212837,0.0022179599551639287,-0.02424570222858566,-0.0066212616881225405,"Benton Harbor--St. Joseph--Fair Plain, MI",Snow,False
7705,-0.010362112464669443,-0.020007291690452476,-0.028329644868173253,0.012813313406966068,"Billings, MT",Arid,False
7732,-0.025654103306247858,-0.027971144937961098,-0.09909170414075935,-0.028160173874423187,"Binghamton, NY--PA",Snow,False
7786,0.0024223278352562667,-0.00670741978214708,-0.005632420282275092,-0.009206226100013488,"Birmingham, AL",Temperate,False
