Urban_geoid,slope_CUHI_day,slope_CUHI_night,slope_SUHI_day,slope_SUHI_night,Urban_name,Clim_zone,Coastal?
199,-0.008731647233097151,-0.010360671934282471,-0.04443857781142158,-0.023373350004896,"Aberdeen--Bel Air South--Bel Air North, MD",Temperate,True
280,-0.005295501897357453,-0.014272334188768573,-0.011322331324207204,-0.011003032186591575,"Abilene, TX",Temperate,False
631,-0.00025761252424283117,-0.003552413737906913,0.08504707879742975,-0.012169908050666502,"Aguadilla--Isabela--San Sebastián, PR",Tropical,True
766,-0.0031966572079859443,-0.006719403336865968,-0.08465564512388414,-0.02043306093983447,"Akron, OH",Snow,False
901,-0.01011996471933065,-0.00941083047954434,-0.10078802275578906,-0.02773893690075307,"Albany, GA",Temperate,False
955,-0.026113269591164633,-0.010976443384660643,-0.17975939263539023,-0.044705444057871864,"Albany, OR",Temperate,False
970,-0.00903036333491672,-0.015140958118401772,-0.09369462407585924,-0.02939074411006747,"Albany--Schenectady, NY",Snow,False
1171,-0.025720783644322145,-0.008965587619201541,-0.044541616320592815,-0.0073692792152338865,"Albuquerque, NM",Arid,False
1279,-0.005675741369072642,-0.004851151824700289,-0.0971346689098063,-0.026975232236148648,"Alexandria, LA",Temperate,False
1495,-0.010501087698559163,-0.009379513803158117,-0.14518188584188968,-0.026883047014337247,"Allentown, PA--NJ",Snow,False
1765,-0.008828260532346638,-0.021612072950828513,-0.1699311015841105,-0.06183856888120293,"Alton, IL--MO",Temperate,False
1792,-0.03974157336382442,-0.029961875664637625,-0.15959012771033335,-0.06786626429909684,"Altoona, PA",Snow,False
1927,0.0009480219083050969,0.0008467035813050177,-0.013922036718583317,-0.0020992066584982192,"Amarillo, TX",Arid,False
2062,-0.004415067761535362,-0.003436877268328593,-0.0724093614021753,-0.011278321506578277,"Ames, IA",Snow,False
2305,-0.006838040150043039,-0.011117090967913955,-0.056266099893947305,-0.012840643879674204,"Anchorage, AK",Snow,True
2386,-0.00870014559042958,-0.009760931584996716,-0.1389625952318032,-0.03327986084508003,"Anderson, IN",Snow,False
2413,-0.0012820023281921726,-0.0044938344205055014,-0.05206064393601998,-0.0029881437660525707,"Anderson, SC",Temperate,False
2602,-0.0019465928147851023,-0.0028719721773133966,-0.027141013424585393,-0.007594042917556398,"Ann Arbor, MI",Snow,False
2629,-0.004426687785288524,-0.012874750219119921,-0.09382588843581129,-0.04000461852122974,"Anniston--Oxford, AL",Temperate,False
2683,0.004708847207046846,-0.004827653130282735,-0.025866494001244238,-0.015585073913287407,"Antioch, CA",Temperate,True
2764,-0.00860656336246472,-0.01181012269000887,-0.11421085100172627,-0.03641145171044972,"Appleton, WI",Snow,False
3034,0.01804187081017061,0.023884043117348874,0.058186640757499505,0.023664120302907887,"Arecibo, PR",Tropical,True
3196,-0.0253737365615599,-0.008780535329937956,-0.08296636998411357,-0.03614609171207808,"Arroyo Grande--Grover Beach, CA",Temperate,True
3358,-0.007770060108502055,-0.00832415873802625,-0.01897402077945984,-0.0014886177294916208,"Asheville, NC",Temperate,False
3763,-0.005089256480296887,-0.007693622533178572,-0.06492152730174579,-0.025142308720210935,"Athens-Clarke County, GA",Temperate,False
3817,-0.0034130739934423995,-0.0015378988371890878,-0.019941209173623693,-0.0036101019774418966,"Atlanta, GA",Temperate,False
3898,0.0009095533778997966,0.005293777093274809,-0.03586736247922244,0.008337425941761843,"Atlantic City, NJ",Temperate,True
4033,-0.005051221331210054,-0.004154763642941336,-0.07403855438338569,-0.020504123109213467,"Auburn, AL",Temperate,False
