Urban_geoid,slope_CUHI_day,slope_CUHI_night,slope_SUHI_day,slope_SUHI_night,Urban_name,Clim_zone,Coastal?
199,-0.002482849883434852,-0.007313573989919736,-0.028364853241816146,-0.026428704412303123,"Aberdeen--Bel Air South--Bel Air North, MD",Temperate,True
280,-0.0010766282045964622,-0.052718918893949564,-0.060617084065377254,-0.02558110177689034,"Abilene, TX",Temperate,False
631,0.013122422935802788,-0.021207017823033317,0.08745081042947037,0.012256944655366225,"Aguadilla--Isabela--San Sebastián, PR",Tropical,True
766,-0.003507383616172769,-0.007165404685221442,-0.04270401795096726,-0.020871706181811143,"Akron, OH",Snow,False
901,-0.008077938667041085,-0.007062153739224305,-0.08640267337786076,-0.02282863834057782,"Albany, GA",Temperate,False
955,-0.03409777728215489,0.0008538003672776262,-0.06373520655189767,-0.017676983438923283,"Albany, OR",Temperate,False
970,-0.006048377963113832,-0.012263689809699588,-0.08029359412741788,-0.038611668010101664,"Albany--Schenectady, NY",Snow,False
1171,-0.022424649844120743,-0.006748509456313946,-0.03836090553990626,-0.010748635164467495,"Albuquerque, NM",Arid,False
1279,0.006753540214013415,-0.007160537508932991,-0.0973971868131233,-0.032992923725643726,"Alexandria, LA",Temperate,False
1495,-0.004294073685067615,-0.007127189180782565,-0.09411751980797826,-0.0336406877452223,"Allentown, PA--NJ",Snow,False
1765,-0.0035128165948493466,-0.014601957684115513,-0.07689357054647863,-0.05407056061693413,"Alton, IL--MO",Temperate,False
1792,-0.054153291283586674,-0.04710077084358748,-0.11014036364446118,-0.09819102048031486,"Altoona, PA",Snow,False
1927,-0.00389827383457294,-0.014209107790704995,0.010477842014957833,-0.013659646914144875,"Amarillo, TX",Arid,False
2062,-0.00308889951713976,-0.0020429826004347913,-0.060650855295535266,-0.022396768430692212,"Ames, IA",Snow,False
2305,0.012664428597524821,-0.019249179881678232,-0.04757646310066944,-0.025189252246270003,"Anchorage, AK",Snow,True
2386,-0.0005117856732455354,-0.007201441306182931,-0.056271182842641584,-0.0392677933342857,"Anderson, IN",Snow,False
2413,-0.0007697128422597133,-0.0026151945155360283,-0.013539792583045862,-0.023379508124091404,"Anderson, SC",Temperate,False
2602,0.003176272262757194,-0.00016097193376683427,-0.012056475455000744,-0.0039204774772607295,"Ann Arbor, MI",Snow,False
2629,-7.439979384558393e-05,-0.012504630907127704,-0.05508156442127748,-0.043854211566470534,"Anniston--Oxford, AL",Temperate,False
2683,-0.014902403622314472,-0.0005961163784303277,-0.06380105194176128,-0.022437454306306743,"Antioch, CA",Temperate,True
2764,-0.011455035753222124,-0.002195240413174162,-0.07934407308969979,-0.019610765933597358,"Appleton, WI",Snow,False
3034,0.014269163689025007,0.01547072487642187,0.0671084906098202,0.04128495228935531,"Arecibo, PR",Tropical,True
3196,-0.00042573053012663674,-0.010498634073728043,-0.045704729705294815,-0.04803925864126451,"Arroyo Grande--Grover Beach, CA",Temperate,True
3358,-0.0053217339916467,-0.029121966273919588,-0.007888435958952986,-0.009090574135966938,"Asheville, NC",Temperate,False
3763,-0.007577009737459718,-0.011903777378874072,-0.00886384337550123,-0.020674056861560066,"Athens-Clarke County, GA",Temperate,False
3817,-0.0008692966117585018,-0.0008007462304173927,-0.010349634320131893,-0.002179397284506268,"Atlanta, GA",Temperate,False
3898,-0.0033741914726237296,0.0029711785024946185,-0.02587664912109477,0.007218341076043802,"Atlantic City, NJ",Temperate,True
4033,-0.0016284033858500184,-0.00627094921249201,-0.05072152645641692,-0.014076870187241157,"Auburn, AL",Temperate,False
4222,0.003708831909413678,-0.0009319232275002773,-0.03666608125913068,-0.009073853271064693,"Augusta-Richmond County, GA--SC",Temperate,False
4384,-0.0014905847669397277,-0.0017144607680756384,-0.013712959042962448,-0.00398790514462598,"Austin, TX",Temperate,False
4549,0.001637179045028949,-0.005834373150940745,-0.023810536545656544,-0.008430085264749495,"Avondale--Goodyear, AZ",Arid,False
4681,-0.0017521843973311037,-0.0019395238781982085,-0.010634320618664771,-0.0036885657630635433,"Bakersfield, CA",Arid,False
4843,0.003051552314213587,-0.005519724319600011,-0.030106193534333144,-0.017787580452147112,"Baltimore, MD",Temperate,True
4951,-0.0005519331432482232,-0.018715273207121418,-0.0164458402222397,-0.04439959212508003,"Bangor, ME",Snow,False
5167,-0.001972859529202483,-0.0037856695012447174,-0.01617576041287231,-0.022182083459659753,"Barnstable Town, MA",Temperate,True
5680,-0.0020450462104611494,-0.003561266008115118,-0.018246297261123697,-0.007949227462711197,"Baton Rouge, LA",Temperate,False
5707,0.007344013944245649,-0.005196875663958702,-0.052176336528461764,-0.028036854336597753,"Battle Creek, MI",Snow,False
5869,-0.0076293027743283915,-0.0006822717719438815,-0.08262983727883955,-0.018879267172568215,"Bay City, MI",Snow,False
6058,-0.005385357925965616,-0.0102860793969597,-0.031406721760135,-0.031831437772915465,"Beaumont, TX",Temperate,False
6139,-0.02908840776733758,-0.033269198764150174,-0.07182110968170378,-0.02923855688589577,"Beckley, WV",Temperate,False
6652,-0.0022033931278037182,-0.006719566958140711,-0.12311609759842337,-0.046577809768105785,"Bellingham, WA",Temperate,True
6760,0.000933725087686489,-0.004894271872941407,-0.04030454856180075,-0.03705895676630883,"Beloit, WI--IL",Snow,False
6868,-0.07068325410412073,-0.03268313253377977,-0.09295324780427285,-0.02007587852425002,"Bend, OR",Temperate,False
7138,-0.0023969199023347425,0.0012945537479953572,-0.02798803932625032,-0.013794905591060919,"Benton Harbor--St. Joseph--Fair Plain, MI",Snow,False
7705,-0.038046798140583704,-0.04093875034724747,-0.1098220829131534,-0.003927340505184524,"Billings, MT",Arid,False
7732,-0.02104713955012756,-0.011960315188446693,-0.06404603786817126,-0.026814028143933168,"Binghamton, NY--PA",Snow,False
7786,0.0025188149884861565,-0.0009735085080801761,-0.011391378441794697,-0.010904060124149047,"Birmingham, AL",Temperate,False
7921,-0.01985922816550109,-0.033222104909757764,-0.04430263465595528,-0.002964727556732076,"Bismarck, ND",Snow,False
8002,-0.009832586987236172,-0.0461938855524788,-0.00880022584623152,-0.01808131138658105,"Blacksburg, VA",Temperate,False
8380,-0.0018084254940904877,-0.0037025278242468146,-0.03981621244371812,-0.024397854235042874,"Bloomington, IN",Temperate,False
8407,-0.0029629083937300436,-0.0028128372467622754,-0.06180874070174471,-0.01669484935698511,"Bloomington--Normal, IL",Snow,False
8434,0.01002519346010944,-0.0035593867183767894,-0.06012757952873447,-0.0472725646001463,"Bloomsburg--Berwick, PA",Snow,False
8785,-0.007323502180200845,-0.021769970444873145,-0.06756207904523504,-0.014153858417379603,"Boise City, ID",Arid,False
