Urban_geoid,slope_CUHI_day,slope_CUHI_night,slope_SUHI_day,slope_SUHI_night,Urban_name,Clim_zone,Coastal?
199,-0.014211461188664247,-0.021060000312369844,-0.030372941010785602,-0.027808268792726385,"Aberdeen--Bel Air South--Bel Air North, MD",Temperate,True
280,-0.008773839060682942,-0.009989847259838418,-0.0016434618244947363,-0.007957713318258945,"Abilene, TX",Temperate,False
631,0.0007686061040437361,0.0010185685829505343,0.13346739034706184,-0.021660320429252665,"Aguadilla--Isabela--San Sebastián, PR",Tropical,True
766,-0.01141581481197998,-0.010439160287134803,-0.10688269031824298,-0.0315086739089255,"Akron, OH",Snow,False
901,-0.013308982057502437,-0.009630982325880775,-0.14518044708347747,-0.03212281021312718,"Albany, GA",Temperate,False
955,-0.013947660592814942,-0.022198066408990632,-0.11663574127294928,-0.047410193293585166,"Albany, OR",Temperate,False
970,-0.016480083608139934,-0.01831069209146881,-0.13370023727331587,-0.029262332293840135,"Albany--Schenectady, NY",Snow,False
1171,-0.027016126865591183,-0.010014543679171355,-0.04699807515676658,-0.007775026186899996,"Albuquerque, NM",Arid,False
1279,-0.008098557047453908,-0.007501682776539526,-0.12480931907025904,-0.02723072024874849,"Alexandria, LA",Temperate,False
1495,-0.014239211246795298,-0.014436532670575632,-0.11685848914136412,-0.02900327808135576,"Allentown, PA--NJ",Snow,False
1765,-0.01644308816217057,-0.027695003410744504,-0.1762444982205269,-0.07934443521736051,"Alton, IL--MO",Temperate,False
1792,-0.03198014011462901,-0.02563466553238922,-0.19803484037722355,-0.020945575595723076,"Altoona, PA",Snow,False
1927,-0.003883685090705248,-0.005098179289578061,-0.011817179809519742,-0.007905739191322928,"Amarillo, TX",Arid,False
2062,-0.00823313791931551,-0.0049444946250944595,-0.06701548371373096,-0.015427232140134828,"Ames, IA",Snow,False
2305,-0.008099715271329029,-0.004843186125365659,-0.049124946540800254,-0.008274021914954882,"Anchorage, AK",Snow,True
2386,-0.013643919839838106,-0.01398312448157634,-0.1380212378427654,-0.04804600979948364,"Anderson, IN",Snow,False
2413,-0.007172504394560687,-0.0003258936762187474,-0.08474802154896417,0.009758083248496993,"Anderson, SC",Temperate,False
2602,-0.00336826962655543,-0.0049712111815868034,-0.02344586064147429,-0.011698945746019552,"Ann Arbor, MI",Snow,False
2629,-0.01222128265993777,-0.014573036375225194,-0.13524702382099885,-0.03703185568572456,"Anniston--Oxford, AL",Temperate,False
2683,0.022968572670891713,-0.007976997798465198,0.07175140213078149,-0.012282881927607174,"Antioch, CA",Temperate,True
2764,-0.010399089098070129,-0.01545431654931357,-0.12453941707882919,-0.04361061870879419,"Appleton, WI",Snow,False
3034,0.017148207710715797,0.026508835527652607,0.0927755561455496,0.03515333410018108,"Arecibo, PR",Tropical,True
3196,-0.02921254328484514,-0.01669993163839836,-0.04026194573407901,-0.015761281419582503,"Arroyo Grande--Grover Beach, CA",Temperate,True
3358,-0.0030104940501508672,-0.0016975044800197408,-0.01584054894430296,-0.00011781987122446156,"Asheville, NC",Temperate,False
3763,-0.006879059241819197,-0.007381054713730556,-0.08051253683632094,-0.029939606494410513,"Athens-Clarke County, GA",Temperate,False
3817,-0.003573260425412096,-0.0022136573515425958,-0.013322996069453023,-0.0008045888328768573,"Atlanta, GA",Temperate,False
3898,-0.0008265882456714557,0.000871077743088665,-0.030704216674242335,0.003484073629430251,"Atlantic City, NJ",Temperate,True
4033,-0.008616890177005789,-0.005230567488634079,-0.0824704128480289,-0.019745243809266906,"Auburn, AL",Temperate,False
4222,-0.00963244385854763,-0.005557927841176299,-0.06532352148822058,-0.011088269441979427,"Augusta-Richmond County, GA--SC",Temperate,False
4384,-0.005204763068960212,-0.001875806828211299,-0.03845705927548506,-0.003183626079051992,"Austin, TX",Temperate,False
4549,0.0018551494091507805,-0.0026981828206772748,-0.020376898468791167,-0.005704842605260131,"Avondale--Goodyear, AZ",Arid,False
4681,-0.014055183901910781,-0.011995395436696482,-0.02922161623865307,-0.011057012362058062,"Bakersfield, CA",Arid,False
4843,-0.009505279996794866,-0.011110940497027377,-0.07810887763094632,-0.022143682251365843,"Baltimore, MD",Temperate,True
4951,-0.01818751844594466,-0.015946990070037456,-0.10385223002484976,-0.016829218902037476,"Bangor, ME",Snow,False
5167,-0.0033979972377881328,-0.004872836579312098,-0.07581020343558487,-0.005820351610118396,"Barnstable Town, MA",Temperate,True
5680,-0.0033264412548573074,-0.0032729250919413416,-0.03474146223331956,-0.013928073427990613,"Baton Rouge, LA",Temperate,False
5707,-0.012487753583304348,-0.013647720146237156,-0.12125084580505072,-0.03895405714953437,"Battle Creek, MI",Snow,False
5869,-0.00930487763656722,-0.01728263420723231,-0.15825670704021969,-0.06084134534681008,"Bay City, MI",Snow,False
6058,-0.006821730791500124,-0.013121700244795356,-0.11261122765695522,-0.03433577282281076,"Beaumont, TX",Temperate,False
6139,-0.029227191788549423,0.005387918836836102,-0.0253639334147419,0.0007063391526569988,"Beckley, WV",Temperate,False
6652,-0.05134618141006299,-0.02951079063031966,-0.20864321510489903,-0.008899054034990774,"Bellingham, WA",Temperate,True
6760,-0.0077093012107714775,-0.010386765385041094,-0.11513825479718064,-0.04221822399806363,"Beloit, WI--IL",Snow,False
6868,-0.02037752105992784,-0.05210719482358537,-0.060723597371894755,-0.08538919928362433,"Bend, OR",Temperate,False
7138,-0.0031529634101072467,-0.000655840337702856,-0.046362414901752816,-0.012716627977160262,"Benton Harbor--St. Joseph--Fair Plain, MI",Snow,False
7705,-0.027765728318172967,-0.03382880434302786,-0.08775754495554043,-0.07007431496749882,"Billings, MT",Arid,False
7732,-0.029290296440039856,-0.028820768555361635,-0.16220130955191903,-0.03966717144577993,"Binghamton, NY--PA",Snow,False
7786,-0.0067893632871303755,-0.0023868712011983545,-0.06572293005013885,-0.008641789779755401,"Birmingham, AL",Temperate,False
7921,-0.006578743377228649,-0.02769043466795389,-0.08381941280451771,-0.05304452604741453,"Bismarck, ND",Snow,False
8002,-0.01213489110598735,-0.00916657543953328,-0.06156494136571182,-0.00999062221142093,"Blacksburg, VA",Temperate,False
8380,-0.006851268929672792,-0.00471238036941986,-0.07951410719073423,-0.02276201384991,"Bloomington, IN",Temperate,False
8407,-0.008235540667444594,-0.011795221017710428,-0.09866740773846827,-0.03476065351623496,"Bloomington--Normal, IL",Snow,False
8434,-0.02002940317259907,-0.018228095070290863,-0.1647148318744313,-0.04221594635236453,"Bloomsburg--Berwick, PA",Snow,False
8785,-0.01698771968558416,-0.020469564184453296,0.0119701194827375,-0.02351096076251165,"Boise City, ID",Arid,False
8974,-0.000585588742990028,0.0033896442944657537,-0.0046481068439953865,0.012115013257800946,"Bonita Springs, FL",Tropical,True
9271,-0.006964224091024836,-0.004514071815932181,-0.061037152118815045,-0.008136700988813304,"Boston, MA--NH--RI",Snow,True
9298,-0.045502294078963015,-0.03930744592646174,-0.09583705487188533,-0.0507723258512341,"Boulder, CO",Snow,False
9379,-0.007980737736095743,-0.012124907333076067,-0.09577889434013723,-0.035900727616604816,"Bowling Green, KY",Temperate,False
9946,-0.018470217356201572,-0.0038017170270350877,-0.11147670722905968,-0.00564615126682335,"Bremerton, WA",Temperate,True
10162,-0.0048041940569524665,-0.0037283995099864275,-0.04158854219535585,-0.0048529141569066524,"Bridgeport--Stamford, CT--NY",Temperate,True
10351,-0.00025431989500374736,-0.010117657265630907,-0.015570543214022783,-0.0143560670708443,"Bristol--Bristol, TN--VA",Temperate,False
10972,0.002037577433903234,-9.736969200870884e-06,0.013464500803541396,0.00301331052899103,"Brownsville, TX",Temperate,True
11026,-0.009678779415979335,-0.027278370780604196,-0.2017152497877617,-0.09790285049133574,"Brunswick, GA",Temperate,True
11350,-0.012163902637349126,-0.015615788646653715,-0.1042479995166029,-0.0379413145726027,"Buffalo, NY",Snow,False
11728,-0.00402360100880785,-0.00027231665967827336,-0.057578292316024494,-0.011926321266323385,"Burlington, NC",Temperate,False
11755,-0.00900450411914108,-0.022273098204322512,-0.11287417729111672,-0.051645549437149024,"Burlington, VT",Snow,False
12754,-0.013454545560833404,-0.004761288697854654,-0.0074676348944139135,-0.020044162347035047,"Camarillo, CA",Temperate,False
13375,-0.014896407679372536,-0.012946995498692783,-0.12995632958507505,-0.03615649989720129,"Canton, OH",Snow,False
