Urban_geoid,Urban_name,Clim_zone,Coastal?,CUHI Day (25th %tile),CUHI Day (75th %tile),CUHI Day (Difference),CUHI Night (25th %tile),CUHI Night (75th %tile),CUHI Night (Difference),SUHI Day (25th %tile),SUHI Day (75th %tile),SUHI Day (Difference),SUHI Night (25th %tile),SUHI Night (75th %tile),SUHI Night (Difference)
280,"Abilene, TX",Temperate,False,-0.82395095,-0.9305075,-0.106556535,0.2679419,0.1106292,-0.15731269,1.1896714,0.9043613,-0.2853101,0.64319175,0.5727845,-0.07040727
955,"Albany, OR",Temperate,False,0.5572654,0.045721002,-0.5115444,0.65444076,0.47802213,-0.17641863,3.0832186,-1.9450768,-5.0282955,1.1617742,0.9935239,-0.16825026
1171,"Albuquerque, NM",Arid,False,0.25098857,-0.10406418,-0.35505277,0.7357,0.60262996,-0.13307005,0.5105691,-0.17091103,-0.6814801,0.97241586,0.91526234,-0.057153523
1279,"Alexandria, LA",Temperate,False,-0.059903704,0.0469043,0.10680801,0.32487404,0.18065098,-0.14422306,0.43409777,-1.6448094,-2.078907,0.5592895,0.683269,0.12397951
1765,"Alton, IL--MO",Temperate,False,-1.7106607,-0.1763426,1.5343181,0.24404357,0.40694758,0.16290401,1.2302518,-2.164355,-3.3946068,0.9111453,0.5858561,-0.32528925
1927,"Amarillo, TX",Arid,False,0.049497563,0.19434749,0.14484993,0.63587683,0.6695756,0.033698738,0.0890092,0.23805535,0.14904615,0.7007687,0.95316386,0.25239515
2062,"Ames, IA",Snow,False,0.22619233,0.06117463,-0.1650177,0.42660928,0.26035035,-0.16625893,1.3326876,-0.47244158,-1.8051292,0.76200646,0.97594815,0.2139417
2305,"Anchorage, AK",Snow,True,0.48718166,-0.15270673,-0.6398884,0.62469006,0.20835206,-0.416338,3.8957891,0.64056295,-3.2552261,0.8741961,0.4417524,-0.4324437
2386,"Anderson, IN",Snow,False,-1.5744638,-0.28743783,1.287026,0.33759674,0.30372488,-0.03387186,1.7334467,-2.3752267,-4.1086736,0.8893682,1.2956841,0.40631592
2683,"Antioch, CA",Temperate,True,0.05539722,0.17455623,0.119159006,0.7171358,0.606355,-0.110780776,0.7379483,1.5090753,0.771127,0.3819542,0.58073056,0.19877636
2764,"Appleton, WI",Snow,False,0.008078484,-0.37313557,-0.38121405,0.4255051,0.29579538,-0.12970972,0.8313711,-0.654671,-1.4860421,1.2911513,0.92294693,-0.36820436
3196,"Arroyo Grande--Grover Beach, CA",Temperate,True,-0.1284876,-0.24331205,-0.114824444,0.71735626,-0.5435637,-1.26092,1.8599395,0.6758589,-1.1840806,0.5401976,0.9002305,0.36003292
