Urban_geoid,Urban_name,Clim_zone,Coastal?,CUHI Day (25th %tile),CUHI Day (75th %tile),CUHI Day (Difference),CUHI Night (25th %tile),CUHI Night (75th %tile),CUHI Night (Difference),SUHI Day (25th %tile),SUHI Day (75th %tile),SUHI Day (Difference),SUHI Night (25th %tile),SUHI Night (75th %tile),SUHI Night (Difference)
280,"Abilene, TX",Temperate,False,0.16279542,0.16137822,-0.0014172047,0.15110917,-0.057170786,-0.20827997,0.6637386,0.81878895,0.15505034,0.33702508,0.05779671,-0.27922836
955,"Albany, OR",Temperate,False,0.6363707,-0.027930502,-0.6643012,0.375496,-0.09043298,-0.46592897,4.332047,-1.8990654,-6.2311125,1.0168587,-0.16899902,-1.1858578
1171,"Albuquerque, NM",Arid,False,0.4239267,-0.18125425,-0.605181,0.882564,0.55222774,-0.33033627,0.7582668,-0.36894956,-1.1272163,1.4688073,1.2045298,-0.26427758
1279,"Alexandria, LA",Temperate,False,0.16703075,-0.050784215,-0.21781497,0.18458812,-0.018679503,-0.20326762,2.0327196,-2.0707216,-4.103441,0.4321611,-0.40896994,-0.84113103
1765,"Alton, IL--MO",Temperate,False,0.085884035,0.0048314705,-0.081052564,0.31466,-0.16507092,-0.47973093,1.1841848,-2.4880724,-3.6722572,0.7572813,-0.43451592,-1.1917973
1927,"Amarillo, TX",Arid,False,0.039275177,0.09070753,0.051432356,0.34510028,0.5629589,0.21785861,0.21116371,0.37183228,0.16066857,0.53660387,0.91884047,0.3822366
2062,"Ames, IA",Snow,False,0.113433465,0.13930464,0.025871173,0.0869803,0.031175444,-0.055804856,2.0146408,-0.1960975,-2.2107382,0.39095867,0.20607966,-0.184879
2305,"Anchorage, AK",Snow,True,0.4873805,0.17141013,-0.31597036,0.56626165,0.11448808,-0.45177358,2.775959,0.19638623,-2.5795727,0.60398114,0.5465207,-0.057460427
2386,"Anderson, IN",Snow,False,0.16449495,-0.017431077,-0.18192603,0.15296456,-0.12890509,-0.28186965,1.2224361,-1.5570147,-2.779451,0.5496374,-0.42958954,-0.97922695
2683,"Antioch, CA",Temperate,True,0.26713163,0.44246042,0.17532879,0.48059475,0.37703216,-0.10356259,3.1235392,3.1645155,0.040976286,1.3555342,1.113652,-0.2418822
2764,"Appleton, WI",Snow,False,0.19990574,0.003389749,-0.19651599,0.30756694,-0.050092738,-0.35765967,1.9509133,-0.4327384,-2.3836517,0.8264386,-0.28632766,-1.1127663
3196,"Arroyo Grande--Grover Beach, CA",Temperate,True,-0.23996139,-0.6370142,-0.39705282,0.3904506,0.088362314,-0.3020883,1.6312811,-1.0224893,-2.6537704,1.0630922,0.3492373,-0.7138549
4384,"Austin, TX",Temperate,False,0.2661793,0.04028863,-0.22589067,0.2513313,0.14716777,-0.10416353,1.9669209,0.44751745,-1.5194035,0.81617534,0.300022,-0.51615334
4549,"Avondale--Goodyear, AZ",Arid,False,0.37936372,0.23295738,-0.14640634,0.53834265,0.4734748,-0.064867854,0.29811925,-0.2724152,-0.57053447,0.59163815,0.62672275,0.035084605
4681,"Bakersfield, CA",Arid,False,-0.08079907,-0.26576725,-0.18496817,0.7078688,0.43176395,-0.27610487,-0.5128631,-0.76743174,-0.25456864,1.2144791,1.1054971,-0.10898197
4951,"Bangor, ME",Snow,False,0.14060028,0.053504422,-0.08709586,0.41546637,0.38123053,-0.034235835,1.2741501,-0.75123847,-2.0253887,0.60250604,0.19733685,-0.4051692
5680,"Baton Rouge, LA",Temperate,False,0.23025148,0.030366689,-0.19988479,0.19348091,0.10396172,-0.08951919,1.5628908,-0.10067947,-1.6635703,0.71331626,0.24288604,-0.47043023
5707,"Battle Creek, MI",Snow,False,0.2112052,-0.08021419,-0.2914194,0.20781572,-0.08204892,-0.28986466,2.2573333,-1.1985316,-3.455865,0.7487997,0.13977914,-0.60902053
