Urban_geoid,Urban_name,Clim_zone,Coastal?,CUHI Day (25th %tile),CUHI Day (75th %tile),CUHI Day (Difference),CUHI Night (25th %tile),CUHI Night (75th %tile),CUHI Night (Difference),SUHI Day (25th %tile),SUHI Day (75th %tile),SUHI Day (Difference),SUHI Night (25th %tile),SUHI Night (75th %tile),SUHI Night (Difference)
280,"Abilene, TX",Temperate,False,-0.822594,-0.38208148,0.4405125,0.3952981,0.16649589,-0.2288022,1.1273826,0.8921978,-0.23518485,0.58584344,0.5061858,-0.079657614
955,"Albany, OR",Temperate,False,0.119404584,0.12157554,0.0021709576,1.021048,0.41559434,-0.6054536,1.712134,-1.0926216,-2.8047557,0.9166654,0.28156763,-0.63509774
1171,"Albuquerque, NM",Arid,False,0.28075385,-0.032447584,-0.31320143,0.74124265,0.5881814,-0.15306127,0.23478524,-0.7304567,-0.96524197,0.9068758,0.9071848,0.00030899048
1279,"Alexandria, LA",Temperate,False,-0.044031627,-0.09454314,-0.05051151,0.41758376,0.1510497,-0.26653406,0.54816693,-1.4897265,-2.0378935,0.58609825,-0.21557204,-0.8016703
1765,"Alton, IL--MO",Temperate,False,-1.7007973,-0.006133635,1.6946636,0.21493654,0.33913597,0.124199435,0.99788177,-2.4011157,-3.3989973,0.5996352,0.51632357,-0.08331162
1927,"Amarillo, TX",Arid,False,0.089730255,0.22381641,0.13408616,0.7415196,0.8626174,0.1210978,-1.8189088,0.021527208,1.840436,0.7154936,1.0201417,0.3046481
2062,"Ames, IA",Snow,False,0.17933847,0.14923818,-0.030100286,0.6614486,0.3749686,-0.28648,2.7752059,0.38234717,-2.3928587,0.8661991,0.5144799,-0.3517192
2305,"Anchorage, AK",Snow,True,0.3095375,0.09732559,-0.2122119,0.9841797,0.3512491,-0.6329306,2.4058764,-1.3478582,-3.7537346,0.9312482,0.5901879,-0.34106028
2386,"Anderson, IN",Snow,False,-1.5776428,-0.08441418,1.4932287,0.22067145,0.027149243,-0.1935222,1.4961267,-2.1524158,-3.6485424,0.5663197,0.85583776,0.28951806
2683,"Antioch, CA",Temperate,True,-0.073333286,-0.2500456,-0.1767123,0.9602982,0.6803204,-0.2799778,2.2656724,1.5634913,-0.7021811,0.4733441,0.48151648,0.008172393
2764,"Appleton, WI",Snow,False,-0.0636206,-0.20191953,-0.13829893,0.7148366,0.26011288,-0.45472372,1.386306,-0.08319484,-1.4695009,0.81052965,0.55470115,-0.2558285
