Urban_geoid,Urban_name,Clim_zone,Coastal?,CUHI Day (25th %tile),CUHI Day (75th %tile),CUHI Day (Difference),CUHI Night (25th %tile),CUHI Night (75th %tile),CUHI Night (Difference),SUHI Day (25th %tile),SUHI Day (75th %tile),SUHI Day (Difference),SUHI Night (25th %tile),SUHI Night (75th %tile),SUHI Night (Difference)
280,"Abilene, TX",Temperate,False,0.1531339,0.12862895,-0.024504945,0.1706639,-0.069280826,-0.23994473,0.6625313,1.0434783,0.38094693,0.4038565,0.14026436,-0.26359212
955,"Albany, OR",Temperate,False,0.38469374,-0.025450146,-0.41014388,0.72959363,-0.04860219,-0.7781958,3.7630312,-0.5469569,-4.309988,2.0041974,0.14729565,-1.8569016
1171,"Albuquerque, NM",Arid,False,0.44449082,-0.2662166,-0.7107074,0.90372944,0.51242703,-0.3913024,1.1536732,0.2580353,-0.89563787,1.5279126,0.79769945,-0.73021317
1279,"Alexandria, LA",Temperate,False,0.22057562,-0.057763748,-0.27833936,0.25723284,-0.0170488,-0.27428165,2.8106382,-1.1831243,-3.9937625,0.5831717,-0.2066204,-0.7897921
1765,"Alton, IL--MO",Temperate,False,0.15276338,-0.15413453,-0.3068979,0.38819227,-0.27097374,-0.659166,1.7049385,-1.7144994,-3.419438,0.9759703,-0.77388006,-1.7498504
1927,"Amarillo, TX",Arid,False,0.090097055,0.062200084,-0.02789697,0.31942743,0.46470153,0.1452741,0.7387508,0.46294254,-0.27580827,0.92496157,0.6147062,-0.31025535
2062,"Ames, IA",Snow,False,0.17406945,0.0017341301,-0.17233533,0.22532856,0.10372147,-0.121607095,1.9869536,0.02857773,-1.9583759,0.6586952,0.29566467,-0.36303055
2305,"Anchorage, AK",Snow,True,0.49084672,0.10055912,-0.3902876,0.21996117,0.13065681,-0.08930436,2.818349,0.55147946,-2.2668695,0.064893305,-0.068522826,-0.13341613
2386,"Anderson, IN",Snow,False,0.227563,-0.20108584,-0.42864883,0.2259762,-0.2135172,-0.43949342,2.5723433,-1.315395,-3.8877382,0.9467397,-0.40810218,-1.3548418
2683,"Antioch, CA",Temperate,True,0.061149135,1.0738441,1.012695,0.8322661,0.7730496,-0.0592165,1.3407412,5.7655373,4.424796,1.2709708,1.248993,-0.021977782
2764,"Appleton, WI",Snow,False,0.23036087,0.020096704,-0.21026416,0.3207584,-0.12127011,-0.44202852,2.5349636,-0.460781,-2.9957447,1.1812232,-0.34525383,-1.526477
3196,"Arroyo Grande--Grover Beach, CA",Temperate,True,-0.3156977,-1.1186717,-0.802974,0.45316485,0.17755066,-0.2756142,-1.2100366,-0.9840901,0.22594655,0.7826483,0.20129995,-0.58134836
4384,"Austin, TX",Temperate,False,0.3306837,0.018205065,-0.31247863,0.27915683,0.08991713,-0.18923971,2.491761,0.4799074,-2.0118537,0.98353726,0.33594668,-0.6475906
4549,"Avondale--Goodyear, AZ",Arid,False,0.42704138,0.20942326,-0.21761812,0.5909239,0.5154759,-0.07544798,0.46510553,-0.37006727,-0.8351728,0.6690527,0.56874776,-0.10030496
4681,"Bakersfield, CA",Arid,False,0.39791393,-0.28142405,-0.679338,1.1450384,0.5880551,-0.5569833,0.950515,-0.7252151,-1.67573,1.6394773,1.2336683,-0.40580893
4951,"Bangor, ME",Snow,False,0.45152038,-0.08384398,-0.5353644,0.40960687,0.09028995,-0.31931692,1.8769215,-0.8622217,-2.7391434,0.7555754,0.14874846,-0.60682696
5680,"Baton Rouge, LA",Temperate,False,0.23606569,0.10321323,-0.13285246,0.2551672,0.16563603,-0.08953115,2.5314505,1.3157125,-1.215738,0.9794239,0.45040023,-0.52902365
5707,"Battle Creek, MI",Snow,False,0.3543753,-0.011029172,-0.3654045,0.3584715,0.04503013,-0.3134414,3.5834334,-0.40516257,-3.988596,1.150216,-0.032519106,-1.1827351
6058,"Beaumont, TX",Temperate,False,0.31517863,0.035046887,-0.28013176,0.2926964,0.07611235,-0.21658403,4.0926266,-0.82811546,-4.920742,0.81602466,0.10098269,-0.715042
6652,"Bellingham, WA",Temperate,True,0.39006537,-0.72852784,-1.1185932,0.5292178,-0.2621497,-0.7913675,3.283428,-1.6080528,-4.891481,0.655268,0.6700765,0.014808476
6760,"Beloit, WI--IL",Snow,False,0.1318191,-0.06388227,-0.19570136,0.12995148,-0.053507455,-0.18345892,2.0180883,-0.7529965,-2.7710848,0.6867125,-0.47706717,-1.1637797
6868,"Bend, OR",Temperate,False,0.53625506,0.0060183182,-0.5302367,0.9509617,-0.3253501,-1.2763119,2.2641003,0.11921871,-2.1448817,1.7143848,-0.57333195,-2.2877169
7138,"Benton Harbor--St. Joseph--Fair Plain, MI",Snow,False,0.032209225,0.10612547,0.07391624,0.19213323,0.04132993,-0.1508033,1.4404317,1.3224869,-0.11794484,0.69350636,-0.0149375545,-0.70844394
7705,"Billings, MT",Arid,False,0.49810517,-0.22099477,-0.71909994,0.7608469,-0.40292677,-1.1637737,2.267488,-0.26382577,-2.531314,1.7243462,-0.7417456,-2.4660916
7921,"Bismarck, ND",Snow,False,0.45556253,0.0045295884,-0.45103294,0.7236406,-0.36308166,-1.0867223,2.5324583,-0.2144652,-2.7469234,1.7288014,-0.30835572,-2.037157
8407,"Bloomington--Normal, IL",Snow,False,0.2766794,-0.09031487,-0.36699426,0.44087392,-0.08119129,-0.5220652,3.815365,-0.81326467,-4.6286297,1.3335526,-0.3694031,-1.7029557
8785,"Boise City, ID",Arid,False,0.13835499,-0.16334082,-0.30169582,0.78600883,-0.0430723,-0.8290811,0.48730257,0.10742134,-0.37988123,1.2385875,0.08020034,-1.1583872
9298,"Boulder, CO",Snow,False,0.46237054,-0.7536522,-1.2160227,0.929682,-0.40306053,-1.3327426,1.525886,-0.94976914,-2.475655,1.6228222,-0.14914705,-1.7719692
9946,"Bremerton, WA",Temperate,True,0.28916243,-0.16488296,-0.4540454,0.15530935,-0.026989657,-0.182299,1.8228059,-1.341907,-3.164713,0.25671232,-0.008527753,-0.26524007
10972,"Brownsville, TX",Temperate,True,0.17665057,0.22543283,0.04878226,0.18458536,0.2174325,0.032847136,1.5727191,1.5478108,-0.024908304,0.5781665,0.8402126,0.2620461
11755,"Burlington, VT",Snow,False,0.3253988,-0.121427014,-0.4468258,0.6293042,-0.16045153,-0.7897557,1.9831144,-1.9305036,-3.913618,1.6481214,-0.27219525,-1.9203166
12754,"Camarillo, CA",Temperate,False,1.0723156,0.6324099,-0.4399057,1.1131707,0.72727764,-0.3858931,2.8853307,3.218056,0.3327253,1.099621,0.547165,-0.5524561
14158,"Carson City, NV",Temperate,False,0.2981944,-0.12518494,-0.42337936,0.9910536,-0.31451583,-1.3055694,2.252101,-0.1320877,-2.3841887,0.8760307,-0.35287437,-1.2289051
14401,"Casa Grande, AZ",Arid,False,-0.19332667,-0.0062296707,0.187097,0.096711725,0.059865862,-0.036845863,-0.44888434,0.29401824,0.7429026,0.032902185,0.36582512,0.33292294
14482,"Casper, WY",Snow,False,0.08340296,0.06458234,-0.018820621,0.48602048,0.15438417,-0.3316363,0.9419994,-0.58347136,-1.5254707,1.0637538,0.47400543,-0.5897484
14752,"Cedar Rapids, IA",Snow,False,0.24503765,-0.12518892,-0.37022656,0.29551762,-0.1889588,-0.48447642,2.4381433,-1.252208,-3.6903512,0.8795409,-0.49959522,-1.3791361
15211,"Champaign, IL",Snow,False,0.35764986,0.09788243,-0.25976744,0.56724477,0.11703655,-0.45020822,4.3493257,1.2943944,-3.0549312,1.9274049,0.47610295,-1.4513019
16237,"Cheyenne, WY",Arid,False,0.14153978,-0.19969958,-0.34123936,0.283493,-0.09420976,-0.37770277,0.2577953,0.09946662,-0.15832868,0.41794857,0.13265553,-0.28529304
16264,"Chicago, IL--IN",Snow,False,0.46601683,0.21446225,-0.25155458,0.585383,0.30140623,-0.28397676,4.839617,2.4049408,-2.434676,1.882864,0.93688416,-0.94597983
16318,"Chico, CA",Temperate,False,0.0050801374,0.25572377,0.25064364,0.6161088,0.22723833,-0.38887045,0.21250372,1.7761179,1.5636142,0.88321114,0.72773373,-0.1554774
18451,"Coeur d'Alene, ID",Snow,False,0.19430691,-0.6734218,-0.8677287,0.73769855,-0.19412851,-0.93182707,0.8375857,-3.3782613,-4.215847,1.518479,0.16902244,-1.3494565
18748,"College Station--Bryan, TX",Temperate,False,0.20285764,-0.107130215,-0.30998784,0.19917312,-0.05033633,-0.24950945,2.3844824,-1.3425179,-3.7270002,0.8282892,-0.26016152,-1.0884507
18856,"Colorado Springs, CO",Temperate,False,0.92379683,-0.2140831,-1.13788,0.97452533,-0.29012686,-1.2646523,2.3111432,0.23201694,-2.0791261,1.5718467,-0.2986671,-1.8705138
18937,"Columbia, MO",Snow,False,0.38333264,-0.009323725,-0.39265636,0.45162502,0.06907124,-0.3825538,4.451002,-0.45514664,-4.906149,1.3846861,-0.025059229,-1.4097453
19504,"Concord, CA",Temperate,True,1.5511862,0.6647421,-0.8864441,0.9471788,0.054628868,-0.89254993,4.4087253,2.0432258,-2.3654995,1.2004863,0.14322802,-1.0572582
19755,"Conroe--The Woodlands, TX",Temperate,False,0.04483396,0.14860106,0.1037671,0.020676248,0.14695735,0.12628111,-0.4482029,1.0434368,1.4916396,-0.07501678,0.40558988,0.48060668
19801,"Conway, AR",Temperate,False,0.39883763,-0.16527759,-0.5641152,0.34505355,-0.17652322,-0.52157676,4.209392,-1.3448995,-5.5542917,1.11406,-0.5799428,-1.6940029
20287,"Corpus Christi, TX",Temperate,True,0.2582212,0.0541368,-0.20408441,0.22487555,0.1088164,-0.116059154,2.8775637,0.674991,-2.2025728,0.7511262,0.30741823,-0.443708
